nctid	criterion	cluster
NCT00491816	Patients must be informed of the investigational nature of the study, and must sign an informed consent in accordance with the institutional rules	22
NCT00491816	Pretreatment lab values must be performed within 14 days of patient registration, and other baseline studies within 30 days	15
NCT00491816	Patients will have a baseline mammogram, bone scan, CT chest and abdomen	3
NCT00492323	Diagnosis of postherpetic neuralgia (PHN) with a history of varicella-zoster rash (shingles), persistent pain for at least 6 months after the healing of the rash	15
NCT00492323	Experienced postherpetic neuralgia pain on a daily basis for the past 3 months	15
NCT00492323	Women must be postmenopausal for at least 2 years, sexually abstinent, or if sexually active, be practicing an effective method of birth control, and have a negative serum pregnancy test at screening.	7
NCT00494234	Advanced breast cancer with positive BRCA1 or BRCA2 status	4
NCT00494234	Failed at least one prior chemotherapy	14
NCT00494234	In investigators opinion, no curative standard therapy exists	14
NCT00494234	Measurable disease	10
NCT00496366	Histologically confirmed invasive breast cancer	4
NCT00496366	Stage IIIB, IIIC with T4 lesion or Stage IV disease	25
NCT00496366	Breast cancer must be determined to be HER2-positive. Assays using fluorescence in situ hybridization (FISH) require gene amplification and assays using immunohistochemistry require a strongly positive (3+) staining intensity score in primary or metastatic tumor tissue	0
NCT00496366	Measurable disease according to RECIST (Response Evaluation Criteria In Solid Tumors)	24
NCT00496366	Age ³ 18 years of age	28
NCT00496366	ECOG performance status 0, 1 or 2 (Appendix B)	6
NCT00496366	Life expectancy of 3 months or longer	2
NCT00496366	Able to swallow oral medication	15
NCT00496366	Adequate end organ function	15
NCT00496366	Left ventricular ejection fraction	15
NCT00496366	Women of childbearing potential and men must agree to use adequate contraception prior to study entry and for the duration of study participation	27
NCT00496366	Written informed consent	17
NCT00496795	Primary breast cancer \>4cm in diameter and / or lymph node status N2-3.	4
NCT00496795	Age 65 years or younger	15
NCT00496795	"""Limited"" distant metastases allowed, but patients with massive distant metastases should be excluded"	3
NCT00496795	Willing to participate in the study	15
NCT00499122	Females age 18 years or older.	28
NCT00499122	The ability to provide written informed consent prior to study specific screening procedures, with the understanding that the patient has the right to withdraw from the study at any time.	22
NCT00499122	Histologically confirmed infiltrating (invasive) breast cancer by core needle biopsy, with no evidence of metastatic disease except to the ipsilateral axillary lymph nodes.	25
NCT00499122	Clinical stage IIB - IIIC (T2-4, N0 or N1, M0 or - any T, N1-3, M0) breast cancer. The primary tumor must be greater than or equal to 2 cm (T2-4) or with pathologically proven axillary nodal involvement (N1-3).	15
NCT00499122	Patients with inflammatory breast cancer (T4) are permitted into the study.	4
NCT00499122	Clinically palpable tumor that meets the criteria of RECIST for palpable measurable disease. The primary tumor must be greater than or equal to 2 cm (T2-4) or with pathologically proven axillary nodal involvement (N1-3). Bilateral synchronic breast cancers are allowed but one of the primary tumors should be selected as the target tumor.	15
NCT00499122	Primary tumor may be estrogen or progesterone receptor negative or positive, and human epidermal growth factor receptor 2 (HER-2/neu) negative as determined by either Fluorescent In Situ Hybridization (FISH) or 0-2+ staining by immunohistochemistry (IHC) (Hercept™).	0
NCT00499122	Normal cardiac ejection fraction (EF ≥ 50%) as determined by screening multigated acquisition scan (MUGA) or echocardiogram.	15
NCT00499122	No prior history of myocardial infarction, congestive heart failure, symptomatic coronary artery disease, or cardiac arrhythmias.	15
NCT00499122	Patients must be ambulatory with Eastern Cooperative Oncology Group (ECOG) Performance Status of 0-1.	6
NCT00499122	The patient or her caregiver must be able to self administer daily subcutaneous injections.	15
NCT00499122	Life expectancy greater than 6 months.	2
NCT00499681	Clinical stage I, II, or III operable invasive mammary carcinoma, confirmed by histological analysis	25
NCT00499681	Measurable residual tumor at the primary site	10
NCT00499681	Measurable disease is defined as any mass that can be reproducibly measured by physical examination, mammogram, and/or ultrasound and can be accurately measured in at least one dimension (longest diameter to be recorded) as 10 mm (1 cm)	15
NCT00499681	Available core biopsies from the time of diagnosis	15
NCT00499681	May include sections of paraffin-embedded material	15
NCT00499681	Scheduled to undergo surgical treatment with either segmental resection or total mastectomy	15
NCT00499681	Prior history of contralateral breast cancer allowed if patient has no evidence of recurrence of their initial primary breast cancer within the last 5 years	4
NCT00499681	HER2-positive by Herceptest (3+) or FISH	0
NCT00499681	ER-positive and/or PR-positive by IHC	0
NCT00502684	Women that are scheduled to undergo surgery of a single, stage I-III, invasive ductal or lobular carcinoma tumor with curative intent	15
NCT00502684	No evidence of metastatic disease prior to surgery. Minimal workup would include chest XR, abdominal ultrasound and bone scan.	14
NCT00502684	Age between 20 and 70 year old.	15
NCT00502684	ASA score of 1-2	15
NCT00502684	The patient is able to understand the study objectives and procedures, able to comply with the protocol, and is capable to sign an informed consent.	22
NCT00504855	Patient at Shriners Hospital for Children - Honolulu	15
NCT00504855	Ages 0-18	15
NCT00504855	Short leg, long leg, spica or Petrie cast that includes the foot	15
NCT00504855	Cast applied in the operating room	15
NCT00506311	Part I - Inclusion Criteria Patients that consent to participate.	3
NCT00506311	Patients with melanoma who have undergone superficial node dissection (with or without a concurrent deep (ilioinguinal) node dissection within the last six months as part of their surgical treatment will be considered for the study.	3
NCT00506311	Part II- Inclusion Criteria Patients that consent to participate.	3
NCT00506311	Patients with melanoma for which a superficial node dissection is indicated (with or without a concurrent deep (ilioinguinal) node dissection.	3
NCT00508274	Signed informed consent;	5
NCT00508274	Female ≥18 years;	18
NCT00508274	Pathology that has histologically confirmed invasive breast cancer with stage IIIb/c or stage IV disease; • If recurrent disease is restricted to a solitary lesion, its neoplastic nature should be confirmed by cytology or histology.	25
NCT00508274	Documented overexpression of Her2 (ErbB2) of IHC 3+ or FISH positive, in primary or metastatic tumor tissue is required for enrollment into the study; by local testing or central laboratory testing determined by country of residence. NB. Approximately, 51 subjects will be enrolled in a single stage design to test for efficacy in women from China and Hong Kong. Due to the fact that trastuzumab is not commonly prescribed in China and Hong Kong, the current study allows up to 40% of subjects who are trastuzumab naïve to be enrolled.	15
NCT00508274	Prior therapies must include at minimum a taxane and/or anthracycline and may include trastuzumab if available; other prior regimens are not limited except capecitabine and Erbb2 inhibitors other than trastuzumab. Chemo regimen requirements are as follows:	14
NCT00508274	Taxane containing regimen for at least 4 cycles or \<4 cycles provided disease progression or treatment limiting toxicity occurred while on taxane	14
NCT00508274	Anthracycline containing regimen for at least 4 cycles or \<4 cycles provided disease progression or treatment limiting toxicity occurred while on anthracycline	14
NCT00508274	Taxanes and Anthracyclines may have been administered concurrently or separately	15
NCT00508274	Prior treatment may have contained trastuzumab alone or in combination with other chemotherapy in the adjuvant, locally advanced or metastatic setting and patient must have failed the treatment	14
NCT00508274	Prior treatment with capecitabine is not permitted unless 6 months have elapsed since the last dose of capecitabine and the subject is free of any capecitabine related toxicity	14
NCT00508274	Prior therapy with an ErbB1 and/or ErbB2 inhibitor, other than trastuzumab is not permitted	14
NCT00508274	Other prior chemo-regimens not listed above are unlimited.	14
NCT00508274	For those subjects whose disease is ER+ and/or PR+ one of following criteria should be met.	0
NCT00508274	Subjects who received hormonal therapy and are no longer benefiting from this therapy and the hormonal treatment must have been stopped before the first dose of investigational treatment	14
NCT00508274	Subjects with visceral disease that requires chemotherapy (eg., subjects with liver or lung metastases)	15
NCT00508274	Rapidly progressing or life threatening disease, as determined by the investigator	15
NCT00508274	Subjects with stable CNS metastases (asymptomatic and off systemic steroids and anticonvulsants for at least 3 months) are eligible	15
NCT00508274	Measurable lesion(s) according to RECIST (Response Evaluation Criteria in Solid Tumors);	24
NCT00508274	Radiotherapy as palliative treatment for painful metastatic disease is permitted but must have been stopped within 2 weeks prior to initiation of any investigational treatment. All subjects must have recovered from all radiotherapy related toxicities prior to initiation of any investigational treatment. The site of radiotherapy must not be used as a site of measurable disease;	14
NCT00508274	Cardiac ejection fraction within institutional range of normal as measured by echocardiogram. MUGA scans will be accepted in cases where an echocardiogram cannot be performed or is inconclusive;	15
NCT00508274	ECOG Performance Status of 0 to 1;	6
NCT00508274	Life expectancy of ≥ 12 weeks;	2
NCT00508274	Able to swallow and retain oral medication;	15
NCT00508274	Women with potential to have children must be willing to practice acceptable methods of birth control during the study;	16
NCT00508274	Willing to complete all screening assessments as outlined in the protocol;	15
NCT00508274	Adequate organ function as defined by the Table of Baseline Laboratory Values	15
NCT00508547	Have a diagnosis of psoriasis	15
NCT00508547	Incident or prevalent users of Tremfya or an IL-17 inhibitor (eg, secukinumab, ixekizumab, brodalumab, bimekizumab) at the time of their enrollment. Incident users are defined as those participants starting treatment within 30 days before or after the enrollment visit and prevalent users are defined as those who are on treatment greater than 30 days prior to the enrollment visit	14
NCT00508547	Ability to understand and sign an informed consent form	22
NCT00508547	Are willing to participate in regular follow-up visits	15
NCT00509535	Patients with mild atopic dermatitis are included.	3
NCT00509535	The eczematous lesions may not pass over 5% of the total body surface.	15
NCT00509535	The lesions may not weep.	15
NCT00509626	Diagnosis of primary breast cancer	4
NCT00509626	Newly diagnosed stage I or II disease	15
NCT00509626	Receiving care at a participating Fox Chase Cancer Center CCOP Research Base (FCRB) member site	15
NCT00509626	Geisinger Clinic and Medical Center (phase I)	15
NCT00509626	Main Line Health (phase I)	15
NCT00509626	Any of the other participating FCRB member sites (phase II)	15
NCT00509626	Study intervention is scheduled to begin anytime after surgery up to 3 months after completion of adjuvant chemotherapy	14
NCT00509626	Treatment plan includes adjuvant chemotherapy	14
NCT00509626	Hormone receptor status not specified	0
NCT00509977	Diagnosis of melasma lesion measuring at least 4 square centimeters.	15
NCT00509977	Age 18-75 years.	28
NCT00509977	Good health.	15
NCT00509977	Willingness and ability to understand and provide informed consent for participation in the study.	22
NCT00509977	Ability to communicate with the investigator.	15
NCT00509977	Must be willing to forgo other treatment options for melasma during the course of the study.	15
NCT00513058	Female	18
NCT00513058	Menopausal status not specified	15
NCT00513058	Patients must have an estimated survival of at least 3 months	3
NCT00513058	WHO performance status (ECOG) 0-2	6
NCT00513058	Hemoglobin ≥ 9 g/dL	15
NCT00513058	ANC ≥ 1,500/mm³	15
NCT00513058	Platelets ≥ 100,000/mm³	15
NCT00513058	Total bilirubin ≤ 2.5 mg/dL	12
NCT00513058	ALT and AST ≤ 3 times upper limit of normal	23
NCT00513058	Serum creatinine ≤ 1.5 mg/dL OR creatinine clearance ≥ 40 mL/min	8
NCT00513058	LVEF ≥ 50% (echographic or isotopic method)	15
NCT00513058	Potentially reproductive patients must agree to use an effective contraceptive method while on study treatment	16
NCT00513058	Patients must be affiliated with a Social Security system	3
NCT00513136	Stage I-III Breast Cancer	4
NCT00513136	At least 3 months since last breast cancer treatment (excluding hormonal therapy or Herceptin).	4
NCT00513136	4 week history of persistent moderate to severe fatigue	15
NCT00513136	Competent to sign informed consent	22
NCT00513136	Willing to be randomized	15
NCT00514527	Complicated skin and skin structure infection, presumed or proven to be caused by gram-positive pathogen(s).	15
NCT00514527	Patients, ages 18 years and older, must not be below normal body weight or morbidly obese.	3
NCT00514527	Female patients must not be pregnant at time of enrollment and must agree to a reliable method of birth control during the study and for 6 months following the last dose of study drug.	16
NCT00518895	Histologically confirmed diagnosis of melanoma	25
NCT00518895	Progressive disease that is not surgically resectable, or metastatic Stage IV	25
NCT00518895	Low-normal LDH, defined as ≤ 0.8 times the upper limit of normal	23
NCT00518895	No prior chemotherapy	14
NCT00518895	Measurable disease	10
NCT00518895	ECOG performance status ≤ 1	6
NCT00518895	At least 4 weeks and recovery from effects of major prior surgery or other therapy, including immunotherapy, radiation therapy, or cytokine, biologic or vaccine therapy	14
NCT00518895	Prior immunotherapy allowed	14
NCT00518895	Adequate organ function	15
NCT00519246	Chinese	15
NCT00519246	No cardiac and pulmonary diseases	15
NCT00519246	ASA I-II	15
NCT00519246	No alcohol drinking.	15
NCT00522457	Women ≥ 18 years, Negative pregnancy test at screening and life expectancy of at least 3 months	2
NCT00522457	metastatic (stage IV) and not curable adenocarcinoma of the breast	25
NCT00522457	Measurable disease, defined as at least one lesion that is measurable in one dimension (RECIST)	10
NCT00522457	HER-2 overexpression 3+ or 2+ FISH positive	0
NCT00522457	Patients must have received one prior therapy with trastuzumab as last treatment before entry into the study. If trastuzumab was given as single agent treatment, patients must have received prior chemotherapy for metastatic disease	14
NCT00522457	Trastuzumab has been discontinued before study entry	15
NCT00522457	disease had progressed during or after trastuzumab therapy	14
NCT00522457	Eastern Cooperative Oncology Group (ECOG)performance score of ≤ 2	6
NCT00522457	Adequate hematological, liver and kidney function Key	15
NCT00523588	Cutaneous lupus erythematosus confirmed by histological analysis	15
NCT00523588	Fitzpatrick I-III skin type (very fair, fair, or medium skin)	15
NCT00523588	Stable disease and in relatively good health	15
NCT00523588	Presence of two skin lesions that are suitable for laser treatment	15
NCT00523588	Written informed consent available prior to any screening procedures	17
NCT00523588	Female patients must be willing to use the appropriate birth control measures that will prevent pregnancy from the time of signing informed consent through 60 days after their last laser treatment	16
NCT00524277	Lymph node-positive breast cancer or high-risk lymph node-negative breast cancer. The latter is defined by any one of the following criteria:	4
NCT00524277	T2 disease	15
NCT00524277	Grade 3 disease	15
NCT00524277	Lymphovascular invasion	15
NCT00524277	Estrogen receptor- or progesterone receptor-negative disease	0
NCT00524277	HER2/neu-expressing tumor (immunohistochemistry \[IHC\] 3+ and/or amplified fluorescence in situ hybridization \[FISH\] \>2.2, or N0 (i+))	0
NCT00524277	HER2/neu-expressing tumor (IHC 1-3+ and or positive FISH \>1.2)	0
NCT00524277	Completion of primary standard of care breast cancer therapies (i.e., surgery, chemotherapy, immunotherapy and radiation therapy as appropriate per standard of care for patients' specific cancer)	4
NCT00524277	Clinically cancer-free (no evidence of disease)	15
NCT00524277	Patients may be enrolled between 1-6 months from completion of standard primary breast cancer therapies	4
NCT00524277	Good performance status (as defined in Exclusion Criteria)	15
NCT00524277	Capable of informed consent	22
NCT00525096	Femal patient aged \> 18 years	21
NCT00525096	Histologically proven breast cancer	4
NCT00525096	Menopausal patient according to the following definition:	15
NCT00525096	amenorrhoea \> 1 year or menopause affirmed by a rate of oestradiol or hypophyseal gonadotrophin	15
NCT00525096	surgical ovariectomy	15
NCT00525096	treatment by LHRH analog	15
NCT00525096	ovarian suppression by radiotherapy	15
NCT00525096	amenorrhoea induced by chemotherapy \> 1 year	14
NCT00525096	Oestradiol and/or progesterone positive receptors	0
NCT00525096	Presence of one or several metastatic lesion:	15
NCT00525096	mesurable lesion	15
NCT00525096	bone metastase were detected by bone scintigraphy	15
NCT00525096	Patient who can have received:	15
NCT00525096	Adjuvant chemotherapy and/or hormonotherapy (Tamoxifen)	14
NCT00525096	Metastatic Treatment by chemotherapy	14
NCT00525096	PS \< 2	15
NCT00525096	Adequate biological values	15
NCT00525096	Patient who has clearly given her consent by signing on informed consent form prior to participation	22
NCT00526045	Dose-escalation and MTD dose expansion arm: Patients with histologically confirmed, advanced malignant solid tumors whose disease has progressed on standard therapy or for whom no standard therapy exists. Breast cancer phase II expansion arms only:	25
NCT00526045	Females patients with HER2 positive non-operable locally advanced or metastatic breast cancer must have:	4
NCT00526045	History of trastuzumab resistance, defined as either local or systemic disease progression on treatment with at least 8 weeks of a trastuzumab containing regimen.	14
NCT00526045	Received up to 3 prior anti HER2 based regimens (i.e. trastuzumab and/or lapatinib in combination with other agents) for metastatic disease	14
NCT00526045	Patients who develop metastases while receiving adjuvant or neo-adjuvant trastuzumab are eligible. HER2 positive patients, tumor/s must demonstrate HER2 over-expression based on either:	3
NCT00526045	Immunohistochemistry (IHC) at the 3+ level, or	0
NCT00526045	IHC 2+ confirmed by fluorescence in-situ hybridization (FISH). Tumors tested by FISH must be positive by the specific FISH assay for the amplification of HER2.	0
NCT00526045	Female patients with ER positive non-operable locally advanced or metastatic breast cancer patients who received standard sequence lines of endocrine therapy and whose disease has progressed on at least one and up to 3 lines of endocrine and/or cytotoxic therapy for advanced disease.	14
NCT00526045	All patients must have at least one measurable lesion as defined by RECIST. Irradiated lesions are only evaluable for disease progression.	10
NCT00526045	All patients must have progressive disease before entering the study	3
NCT00526045	Age ≥ 18 years.	28
NCT00526045	World Health Organization (WHO) Performance Status of ≤	15
NCT00526045	6. Life expectancy of ≥ 12 weeks.	2
NCT00526045	Absolute Neutrophil Count (ANC) 1.5 x 109/L; hemoglobin (Hgb) 9 g/dl; platelets (plt) 100 x 109/L; potassium, calcium, magnesium and phosphorus within normal limits or correctable with supplements; AST/SGOT and ALT/SGPT ≤ 2.5 x Upper Limit of Normal (ULN) or ≤ 5.0 x ULN if liver metastases are present; serum bilirubin 1.5 x ULN; serum albumin \> 2.5g/dl and serum creatinine 1.5 x ULN or 24-hour clearance 50 ml/min	8
NCT00526617	Dose escalation and expanded safety cohorts	15
NCT00526617	Evaluable disease, histologically confirmed malignancy (metastatic or unresectable) and standard curative measures or other therapy that may provide clinical benefit do not exist or are no longer effective	25
NCT00526617	ECOG Performance Score less than or equal to 2	6
NCT00526617	Adequate hematologic, renal and hepatic function	15
NCT00526617	Normal sodium, calcium and magnesium levels	15
NCT00526617	Voluntarily signed informed consent Expanded Safety Cohorts Only	5
NCT00526617	Population:	15
NCT00526617	Metastatic melanoma (MM)	25
NCT00526617	Hepatocellular carcinoma (HCC) Child Pugh Category A and B classification only	15
NCT00526617	BRCA deficient tumor status\	15
NCT00526617	: advanced breast cancer (with soft tissue disease), or advanced ovarian cancer, or advanced primary peritoneal cancer, or advanced fallopian tube cancer\	4
NCT00526617	\	15
NCT00526617	Patients must have histologically or cytologically confirmed solid tumors with a positive genetic test result documenting BRCA 1 or BRCA 2 mutation status, to be considered eligible.	25
NCT00526617	Serial tumor biopsies: Required for all subjects enrolled in one of the Expanded Low Dose Safety Cohorts.	15
NCT00528567	adult patients, \>=18 years of age;	28
NCT00528567	operable primary invasive breast cancer;	4
NCT00528567	completed definitive loco-regional surgery;	15
NCT00528567	primary tumor centrally confirmed as triple negative.	15
NCT00529334	DCIS or infiltrating ductal carcinoma of the breast \<= 3cm	15
NCT00529334	margins clear by at least 2 mm	15
NCT00529334	age \>=45 years	15
NCT00530075	Documented diagnosis of WG according to American College of Rheumatology (ACR) and Chapel Hill Consensus Conference (CHCC) definition	15
NCT00530075	BVAS \>= 4	15
NCT00530075	Total disease duration \>= 3 months treated with CYC or \>= 6 months with MTX	15
NCT00530075	Age 18 - 80	28
NCT00530075	WBC \>= 4,000/mm3, haemoglobin \>= 8g/dl, neutrophils \>= 2,500/mm3, platelets \>= 100,000/mm3	15
NCT00530075	ALT, bilirubin and alkaline phosphatase levels within 2x the upper limits of normal	23
NCT00530075	Documented to be non-pregnant by serum/urine pregnancy test	7
NCT00530075	Willing to participate in this study	15
NCT00530075	Provide signed informed consent	5
NCT00530075	Able and prepared to self-administer the study drug or have a close friend/relative able to do this	15
NCT00530868	All patients must meet the following criteria to be eligible for study entry:	3
NCT00530868	Pathologically confirmed invasive ductal carcinoma or invasive lobular carcinoma of the breast, T2-T3 / T4a-c / N0-2 / M0, with positive estrogen and/or progesterone receptors, and Her-2-neu negative. Patients with inflammatory breast cancer will not be included (T4d). Patients previously treated patients with no measurable disease or patients with metastatic disease will be excluded.	3
NCT00530868	Give written informed consent prior to study specific screening procedures, with the understanding that the patient has the right to withdraw from the study at any time, without prejudice.	22
NCT00530868	Patients must be postmenopausal, defined as one of the following:	3
NCT00530868	Patients \> 50 years of age with no spontaneous menses for at least 12 months,	3
NCT00530868	Bilateral oophorectomy	15
NCT00530868	Be ambulatory (outpatient) and have an ECOG PS \<1.	15
NCT00530868	Patients must have measurable disease by mammogram and/or breast ultrasound (in special cases a dedicated breast MRI may be clinically indicated). The target lesion must not have been previously irradiated.	10
NCT00530868	No prior chemotherapy.	14
NCT00530868	Patients must have adequate organ and marrow function as defined as follows: absolute neutrophil count \> 1,500/mm3, hemoglobin \> 8.0 g/dl, platelets \> 75,000/mm3, total bilirubin \< 2 mg/dl, serum creatinine \< 2 mg/dl, Transaminases (AST, ALT) may be up to 2 x institutional upper limit of normal. In addition \< 1 gr of protein in 24 hr urine collection and urine protein/creatinine ratio \< 1.0.	8
NCT00530868	No life threatening parenchymal disease or rapidly progressing disease warranting cytotoxic chemotherapy.	15
NCT00530868	Hypertension must be controlled (\<150/100 mmHg).	15
NCT00530868	Ejection Fraction \> 50% by echocardiogram. (LVEF greater than 75% at baseline should be reviewed and/or the test repeated as it may be falsely elevated).	15
NCT00530868	No history of thrombosis during the previous 12 months.	15
NCT00531973	women with age ≥18 and ≤65 years	28
NCT00531973	histological and/or cytological diagnosis of clinically non-metastatic breast cancer (c/pTall, c/pNall, cM0)	4
NCT00531973	indication for integrated treatment with surgical intervention associated with adjuvant or neo-adjuvant chemotherapy, endocrinological and radiation therapy, including adjuvant or neo-adjuvant chemotherapy with anthracycline	14
NCT00531973	ECOG (Eastern Cooperative Oncology Group) performance status ≤2	6
NCT00531973	normal kidney, hepatic and hematological function	15
NCT00531973	normal LV ejection fraction at baseline (≥50%)	15
NCT00531973	negative pregnancy test in fecund women	7
NCT00532857	All patients must have histologically confirmed and newly diagnosed operable breast cancer	4
NCT00532857	HER2 positive (all FISH +)	0
NCT00532857	Axillary node positive (by PET or cytologically determine node by sonography) and/or tumor size \> 5 cm -No prior hormonal, chemotherapy or radiotherapy is allowed.	14
NCT00532857	No breast operation other than biopsy to make diagnosis is allowed.	15
NCT00532857	Age: 18-years and older, not pregnant pre-, and postmenopausal women with good performance status (ECOG 0-1)	28
NCT00532857	Adequate hematopoietic function: Absolute granulocyte count ³1500/mm3,	15
NCT00532857	platelet ³100,000/mm3, Hemoglobin ³ 10 g/mm3	15
NCT00532857	Adequate renal function: Serum creatinine £ 1.5 mg/dl	8
NCT00532857	Adequate hepatic function: total bilirubin: £ 1.5 mg/dl, AST/ALT: £ 2 times normal, Alkaline phosphatase: £ 2 times normal-Adequate cardiac function:	12
NCT00532857	normal or nonspecific EKG taken within 1 mo of enrollment	15
NCT00532857	LVEF ³ 50% by MUGA or Echocardiogram taken within 1 mo of enrollment	15
NCT00532857	Normal mental function to understand and sign the consent	22
NCT00535067	Breast cancer patients who were participants in clinical trials (ID98-240; ID94-002) for taxanes during 1994-2001	4
NCT00535067	Alive and with current contact information	15
NCT00535067	Age ≥ 18 years. (This restriction is based on inclusion criteria for the clinical trials from which subjects will be recruited. All patients will be at least 18 years or older for this study.)	28
NCT00535678	Women ≥18 years or older for screening mammography	28
NCT00535678	Able and willing to comply with study procedures, and have signed and dated the informed consent form	22
NCT00535678	The subject is surgically sterile or postmenopausal	15
NCT00536744	Male or female ≥ 18 years of age	18
NCT00536744	Diabetes mellitus	15
NCT00536744	One or more chronic foot ulcers (only one will be treated) that are located in the ankle area or below that has persisted a minimum of 30 days prior to the Screening visit	14
NCT00536744	HbA1c ≤ 12%	15
NCT00536744	Diabetic Foot Ulcers ≥ 1 cm2 and ≤ 16 cm2	15
NCT00536744	Ulcer Grade I or II, Stage A according to the University of Texas Diabetic Wound Classification system	15
NCT00536744	Ankle Brachial Index (ABI) ≥ 0.7 and ≤ 1.2, OR toe pressure \> 50 mmHg, OR tcPO2\> 40 mmHg. Major	15
NCT00540917	7 years of age and older with diagnosis of port wine stain birthmark	28
NCT00540917	18 years of age and older with no port wine stain	28
NCT00540917	non-pregnant women	26
NCT00540917	apparent good health	15
NCT00540969	Histologically or cytologically confirmed solid tumor metastasis with index lesion involving or abutting bone	25
NCT00540969	Index lesion with bone destruction is predominantly osteolytic in nature as assessed on CT imaging	15
NCT00540969	If the nature of the metastatic disease has been previously documented, the index lesion to be treated does not require further documentation (i.e., biopsy)	15
NCT00540969	One primary painful metastatic site	15
NCT00540969	Additional less painful metastatic sites may be present	15
NCT00540969	Worst pain in the last 24 hours must be ≥ 4 on a 0-10 numeric scale	15
NCT00540969	Current analgesic therapies have failed OR the patient is experiencing intolerable side effects	15
NCT00540969	Tumor is appropriate for radiotherapy as determined by the participating radiation oncologist and accessible for cryoablation as determined by the participating radiologists upon review of ultrasound, CT scan, X-ray, or MRI examinations	15
NCT00540969	Have completed chemotherapy, hormonal therapy, or bisphosphonate therapy ≥ 4 weeks prior to registration OR have developed pain or have persistent pain while on a stable chemotherapy, hormonal therapy, or bisphosphonate therapy regimen for a period of ≥ 4 weeks	14
NCT00542373	Subjects with premalignant lesion, or potentially premalignant lesion, of the oral cavity mucosa (leukoplakia or erythroplakia)	15
NCT00542373	Patients with a history of head and neck cancer or oral premalignant disease but without any clinical evidence of disease	3
NCT00542373	Persons with any other condition (such as lichen planus, Fanconi anemia, heavy tobacco use, etc) making them at higher risk for oral cancer development	15
NCT00542373	Patients with either pre-malignant or a history of oral cancer based on patient history and clinical presentations	3
NCT00544765	Written informed consent must be obtained and documented according to the local regulatory requirements prior to beginning specific protocol procedures.	22
NCT00544765	Complete baseline documentation sent to SKM CRS.	15
NCT00544765	Unilateral or bilateral primary carcinoma of the breast, confirmed histologically by core biopsy. Fine-needle aspiration is not sufficient. Incisional biopsy is not allowed. In case of bilateral cancer the investigator has to decide prospectively which side will be evaluated for the primary endpoint.	15
NCT00544765	Tumor lesion in the breast with a palpable size of \> 2 cm in maximum diameter. The leasion has to be measurable in two-dimensions by sonography. In case of inflammatory disease the extent of inflammation can be used as measurable lesion. The following tumor stages are eligible:	10
NCT00544765	Palpable breast tumor size of \> 2 cm without involvement of the skin or muscle or evidence of inflammatory disease (T2-3). Clinical N0-2. (Study population I)	15
NCT00544765	Primary tumor with clinical involvement of skin or muscle or clinically evidence of inflammatory breast cancer (T4 a-d) or clinical N3 including supraclavicular nodes. (Study population II). In patients with multifocal or multicentric breast cancer, the largest lesion should be measured.	4
NCT00544765	Age \> 18 years.	28
NCT00544765	Karnofsky Performance status index \> 80%.	15
NCT00544765	Normal cardiac function must be confirmed by LVEF or shortening fraction (echocardiography or MUGA scan respectively) within 3 months prior to registration. The result must be above the normal limit of the institution.	15
NCT00544765	Laboratory requirements (within 14 days prior to registration):	14
NCT00544765	Hematology:	15
NCT00544765	Neutrophils \> 2.0 x 109/L and	15
NCT00544765	Platelets \> 100 x 109/L and	15
NCT00544765	Hemoglobin \> 10 g/dL	15
NCT00544765	Hepatic function:	15
NCT00544765	Total bilirubin \< 1 x UNL and	12
NCT00544765	ASAT (SGOT) and ALAT (SGPT) \< 2.5 x UNL and	15
NCT00544765	Alkaline phosphatase \< 5 UNL. Patients with ASAT and/or ALAT \> 1.5 x UNL associated with alkaline phosphatase \> 2.5 x UNL are not eligible for the study.	15
NCT00544765	Renal function:	15
NCT00544765	Creatinine \< 175 µmol/L (2 mg/dL)	8
NCT00544765	Tissue block centrally available for further biological tests.	15
NCT00544765	Negative pregnancy test (urine or serum) within 14 days prior to registration for all women of childbearing potential.	7
NCT00544765	Complete staging work-up within 3 months prior to registration. All patients must have bilateral mammography, breast ultrasound, breast MRI (optional), chest X-ray (PA and lateral), abdominal ultrasound and/or CT scan, and bone scan. In case of positive bone scan, bone X-ray is mandatory. Other tests may be performed as clinically indicated.	15
NCT00544765	Patients must be available and compliant for treatment and follow-up. Patients registered on this trial must be treated and followed up at the participating center which can be the Principal or the Co- Investigator's site.	3
NCT00546000	Subjects are 3-12 months of age	15
NCT00546000	Subjects diagnosed with Atopic Dermatitis (AD) and have ≥35% of Body Surface Area	15
NCT00546000	Subjects meet protocol specific AD signs and symptom severity score	15
NCT00546156	Documented primary invasive breast cancer by histologic assessment	4
NCT00546156	Tumors must express estrogen (ER) and/or progesterone receptors (PR) by standard immunohistochemical methods. Tumors must be negative for HER2. There must be sufficient sample for further protocol-specified immunohistochemical analysis	0
NCT00546156	Patients must have high risk ER+ or PR+ breast cancer as defined by criteria listed in protocol	4
NCT00546156	18 year of age or older	28
NCT00546156	Performance status of 0 or 1 by ECOG criteria	6
NCT00546156	Use of an effective means of contraception in subjects of childbearing potential	16
NCT00546156	Women of childbearing potential must have a negative serum pregnancy test within 14 days prior to starting therapy.	7
NCT00546156	Patients taking exogenous sex-steroid hormone treatments for any reason at the time of diagnosis must discontinue all hormonal treatments at least 2 weeks prior to enrollment	14
